Episode,Reward
1,[1435.]
2,[1929.]
3,[610.]
4,[1916.]
5,[1883.]
6,[654.]
7,[1880.]
8,[1855.]
9,[1589.]
10,[722.]
11,[3049.]
12,[610.]
13,[654.]
14,[654.]
15,[1433.]
16,[2636.]
17,[1926.]
18,[3037.]
19,[1583.]
20,[2086.]
21,[3049.]
22,[1862.]
23,[2362.]
24,[1862.]
25,[2086.]
26,[1862.]
27,[654.]
28,[778.]
29,[1330.]
30,[2366.]
31,[1436.]
32,[1920.]
33,[3047.]
34,[2368.]
35,[1917.]
36,[3057.]
37,[1573.]
38,[2618.]
39,[1877.]
40,[1856.]
41,[1435.]
42,[2086.]
43,[730.]
44,[654.]
45,[1851.]
46,[606.]
47,[3036.]
48,[1708.]
49,[3052.]
50,[1932.]
51,[2364.]
52,[1885.]
53,[758.]
54,[1848.]
55,[1927.]
56,[609.]
57,[1914.]
58,[1577.]
59,[3041.]
60,[1862.]
61,[1859.]
62,[3030.]
63,[3059.]
64,[2086.]
65,[1882.]
66,[1911.]
67,[2365.]
68,[654.]
69,[3043.]
70,[1329.]
71,[775.]
72,[1921.]
73,[3061.]
74,[1303.]
75,[3035.]
76,[1880.]
77,[2627.]
78,[601.]
79,[1918.]
80,[1584.]
81,[1860.]
82,[3057.]
83,[3052.]
84,[1861.]
85,[1929.]
86,[654.]
87,[654.]
88,[3055.]
89,[3043.]
90,[774.]
91,[1343.]
92,[1889.]
93,[1438.]
94,[1709.]
95,[3057.]
96,[1331.]
97,[1862.]
98,[1861.]
99,[3052.]
100,[1334.]
101,[2086.]
102,[1866.]
103,[654.]
104,[1853.]
105,[1436.]
106,[1885.]
107,[1346.]
108,[754.]
109,[2358.]
110,[654.]
111,[2086.]
112,[2322.]
113,[2200.]
114,[1890.]
115,[2366.]
116,[1853.]
117,[1882.]
118,[1343.]
119,[2087.]
120,[1437.]
121,[1331.]
122,[1688.]
123,[758.]
124,[3043.]
125,[595.]
126,[3050.]
127,[3042.]
128,[582.]
129,[3054.]
130,[2366.]
131,[654.]
132,[2350.]
133,[3054.]
134,[2086.]
135,[2086.]
136,[1927.]
137,[1586.]
138,[3057.]
139,[727.]
140,[654.]
141,[1853.]
142,[2361.]
143,[1915.]
144,[1431.]
145,[1923.]
146,[1698.]
147,[819.]
148,[1863.]
149,[3043.]
150,[2360.]
151,[761.]
152,[3046.]
153,[1330.]
154,[819.]
155,[569.]
156,[1861.]
157,[504.]
158,[3060.]
159,[2361.]
160,[1570.]
161,[585.]
162,[1905.]
163,[587.]
164,[1552.]
165,[3058.]
166,[3052.]
167,[1051.]
168,[1920.]
169,[1315.]
170,[2361.]
171,[1883.]
172,[1420.]
173,[1855.]
174,[1860.]
175,[1882.]
176,[1928.]
177,[1438.]
178,[3050.]
179,[817.]
180,[654.]
181,[3037.]
182,[3059.]
183,[2363.]
184,[1345.]
185,[3059.]
186,[454.]
187,[654.]
188,[1048.]
189,[774.]
190,[3054.]
191,[729.]
192,[2086.]
193,[1341.]
194,[1901.]
195,[654.]
196,[1848.]
197,[654.]
198,[1333.]
199,[3047.]
200,[1442.]
201,[3014.]
202,[2352.]
203,[3051.]
204,[1346.]
205,[3038.]
206,[654.]
207,[3052.]
208,[1843.]
209,[1049.]
210,[2625.]
211,[1860.]
212,[3038.]
213,[3055.]
214,[654.]
215,[3053.]
216,[1051.]
217,[640.]
218,[2358.]
219,[1915.]
220,[742.]
221,[2086.]
222,[596.]
223,[2353.]
224,[3059.]
225,[654.]
226,[3050.]
227,[2365.]
228,[603.]
229,[1540.]
230,[1332.]
231,[654.]
232,[1861.]
233,[1333.]
234,[654.]
235,[2822.]
236,[3054.]
237,[1931.]
238,[1689.]
239,[2360.]
240,[654.]
241,[1863.]
242,[3054.]
243,[2365.]
244,[1333.]
245,[1327.]
246,[654.]
247,[1928.]
248,[1851.]
249,[1864.]
250,[785.]
251,[654.]
252,[1860.]
253,[1692.]
254,[1886.]
255,[2359.]
256,[249.]
257,[3051.]
258,[2360.]
259,[599.]
260,[1589.]
261,[593.]
262,[2086.]
263,[1587.]
264,[3042.]
265,[2320.]
266,[2086.]
267,[3039.]
268,[654.]
269,[654.]
270,[3056.]
271,[595.]
272,[1863.]
273,[3014.]
274,[2362.]
275,[654.]
276,[1860.]
277,[1865.]
278,[1855.]
279,[1441.]
280,[3048.]
281,[2364.]
282,[1333.]
283,[1031.]
284,[654.]
285,[1864.]
286,[654.]
287,[1331.]
288,[1438.]
289,[1586.]
290,[3044.]
291,[3057.]
292,[654.]
293,[654.]
294,[1851.]
295,[1573.]
296,[1458.]
297,[1932.]
298,[654.]
299,[1436.]
300,[2361.]
301,[1697.]
302,[1417.]
303,[1051.]
304,[3047.]
305,[616.]
306,[1557.]
307,[1884.]
308,[1689.]
309,[1841.]
310,[2358.]
311,[2647.]
312,[1852.]
313,[3048.]
314,[1708.]
315,[1589.]
316,[1333.]
317,[1583.]
318,[1693.]
319,[1912.]
320,[2364.]
321,[1863.]
322,[2086.]
323,[2454.]
324,[1343.]
325,[2361.]
326,[654.]
327,[1925.]
328,[1850.]
329,[654.]
330,[3056.]
331,[1687.]
332,[654.]
333,[654.]
334,[1928.]
335,[3053.]
336,[654.]
337,[1377.]
338,[1854.]
339,[654.]
340,[1851.]
341,[1925.]
342,[3044.]
343,[1858.]
344,[2663.]
345,[2367.]
346,[3051.]
347,[1589.]
348,[1885.]
349,[1928.]
350,[1850.]
351,[2365.]
352,[3043.]
353,[1859.]
354,[2650.]
355,[2368.]
356,[739.]
357,[1334.]
358,[1440.]
359,[1864.]
360,[2648.]
361,[1049.]
362,[2362.]
363,[1558.]
364,[654.]
365,[1924.]
366,[3061.]
367,[1703.]
368,[743.]
369,[1051.]
370,[3044.]
371,[1574.]
372,[2345.]
373,[654.]
374,[1401.]
375,[1845.]
376,[654.]
377,[3060.]
378,[1341.]
379,[2363.]
380,[2347.]
381,[3029.]
382,[1915.]
383,[1052.]
384,[1880.]
385,[2239.]
386,[1440.]
387,[3058.]
388,[2357.]
389,[1733.]
390,[3054.]
391,[1707.]
392,[654.]
393,[3056.]
394,[2360.]
395,[3056.]
396,[3058.]
397,[1346.]
398,[3053.]
399,[3029.]
400,[1931.]
401,[1885.]
402,[652.]
403,[1861.]
