Episode,Reward
1,[1819.]
2,[2989.]
3,[3039.]
4,[2384.]
5,[1649.]
6,[2013.]
7,[2146.]
8,[2160.]
9,[2643.]
10,[2173.]
11,[1849.]
12,[2511.]
13,[2522.]
14,[2861.]
15,[2124.]
16,[2984.]
17,[3464.]
18,[2655.]
19,[1884.]
20,[2617.]
21,[2086.]
22,[2463.]
23,[2027.]
24,[2511.]
25,[2715.]
26,[1665.]
27,[3138.]
28,[3732.]
29,[3267.]
30,[2293.]
31,[4018.]
32,[2066.]
33,[2797.]
34,[3304.]
35,[2593.]
36,[3625.]
37,[1680.]
38,[1495.]
39,[3429.]
40,[4107.]
41,[2412.]
42,[2914.]
43,[3368.]
44,[2605.]
45,[4004.]
46,[2112.]
47,[2818.]
48,[1805.]
49,[3077.]
50,[4081.]
51,[3987.]
52,[3304.]
53,[2087.]
54,[4000.]
55,[3832.]
56,[1944.]
57,[1563.]
58,[3079.]
59,[3381.]
60,[3878.]
61,[2227.]
62,[2407.]
63,[2584.]
64,[2699.]
65,[3193.]
66,[2100.]
67,[2700.]
68,[2517.]
69,[3417.]
70,[2704.]
71,[1833.]
72,[1715.]
73,[2584.]
74,[3698.]
75,[1944.]
76,[1962.]
77,[2016.]
78,[2083.]
79,[3640.]
80,[1668.]
81,[1795.]
82,[1727.]
83,[3435.]
84,[3554.]
85,[2182.]
86,[2365.]
87,[3159.]
88,[2167.]
89,[3504.]
90,[1936.]
91,[1843.]
92,[3190.]
93,[1571.]
94,[4524.]
95,[2444.]
96,[3670.]
97,[3534.]
98,[1585.]
99,[2001.]
100,[1943.]
101,[2184.]
102,[1531.]
103,[3304.]
104,[3949.]
105,[3304.]
106,[2310.]
107,[1568.]
108,[2014.]
109,[3590.]
110,[2673.]
111,[3304.]
112,[4300.]
113,[1920.]
114,[3222.]
115,[3017.]
116,[3084.]
117,[2036.]
118,[2086.]
119,[2460.]
120,[3014.]
121,[2059.]
122,[4058.]
123,[3935.]
124,[3343.]
125,[3725.]
126,[3744.]
127,[4213.]
128,[2025.]
129,[3373.]
130,[1661.]
131,[2901.]
132,[3427.]
133,[3834.]
134,[3223.]
135,[1724.]
136,[4235.]
137,[2532.]
138,[2385.]
139,[3122.]
140,[2125.]
141,[1878.]
142,[2002.]
143,[1593.]
144,[1927.]
145,[1565.]
146,[1698.]
147,[2901.]
148,[2052.]
149,[3734.]
150,[3458.]
151,[2194.]
152,[3457.]
153,[2070.]
154,[2002.]
155,[2847.]
156,[2562.]
157,[2086.]
158,[1475.]
159,[2537.]
160,[2086.]
161,[2749.]
162,[902.]
163,[3017.]
164,[2114.]
165,[1981.]
166,[3227.]
167,[3029.]
168,[2789.]
169,[2107.]
170,[1950.]
171,[1581.]
172,[2050.]
173,[2005.]
174,[1937.]
175,[2086.]
176,[2774.]
177,[1676.]
178,[2509.]
179,[1989.]
180,[2912.]
181,[3376.]
182,[3974.]
183,[1930.]
184,[2686.]
185,[1472.]
186,[2599.]
187,[2757.]
188,[2135.]
189,[2212.]
190,[3223.]
191,[1490.]
192,[2162.]
193,[2123.]
194,[2606.]
195,[2041.]
196,[2260.]
197,[2271.]
198,[2419.]
199,[1670.]
200,[2353.]
201,[3336.]
202,[2647.]
203,[3420.]
204,[2086.]
205,[2127.]
206,[2110.]
207,[2480.]
208,[2607.]
209,[2502.]
210,[2506.]
211,[3176.]
212,[1565.]
213,[2548.]
214,[2003.]
215,[2011.]
216,[2055.]
217,[2615.]
218,[1583.]
219,[3506.]
220,[3379.]
221,[3025.]
222,[3304.]
223,[2086.]
224,[2690.]
225,[2505.]
226,[2598.]
227,[2357.]
228,[3771.]
229,[2109.]
230,[2055.]
231,[2153.]
232,[2472.]
233,[2264.]
234,[3072.]
235,[2671.]
236,[3227.]
237,[2143.]
238,[2332.]
239,[3940.]
240,[2014.]
241,[2008.]
242,[2639.]
243,[2451.]
244,[1670.]
245,[2530.]
246,[3628.]
247,[2629.]
248,[2055.]
249,[2091.]
250,[2529.]
251,[3399.]
252,[2738.]
253,[2349.]
254,[2583.]
255,[2561.]
256,[3427.]
257,[1476.]
258,[2746.]
259,[2930.]
260,[2708.]
261,[2086.]
262,[2644.]
263,[2752.]
264,[2078.]
265,[2526.]
266,[2401.]
267,[2927.]
268,[2643.]
269,[3105.]
270,[2529.]
271,[3204.]
272,[2113.]
273,[3464.]
274,[2157.]
275,[1775.]
276,[3983.]
277,[1666.]
278,[3940.]
279,[2041.]
280,[582.]
281,[2614.]
282,[3234.]
283,[2516.]
284,[2022.]
285,[3340.]
286,[3875.]
287,[2019.]
288,[3025.]
289,[3589.]
